Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
11/05/2022,8.5,13.3,17.3,13.5,87.6,89.6,0,5.2,22.6,7.8,50.3,1.6,14.6
12/05/2022,13.9,15.2,17.5,15.3,93.2,95.6,0,3.4,16.7,1,53.1,0.9,15.8
13/05/2022,14,15.5,17.5,15.7,90.6,91.4,0,2.2,16.7,0,40.4,0.8,16.4
14/05/2022,10.4,15.7,20.1,15.9,84.5,85,0,4.2,20.9,0,51.6,0.9,16.4
15/05/2022,9.6,15.5,21.4,15.6,72.8,73.2,0,7.6,41,0.2,165.5,0.9,15.7
16/05/2022,8,14,18.7,14.3,72.2,72.8,0,8.2,36.9,0,121,2.1,15.4
17/05/2022,8,12.8,17.2,13.4,76.8,76.5,0,3.8,20.1,0,142.8,,14.4
18/05/2022,6.2,12,18.4,12.4,73.1,74.5,0,3.7,23.4,0,146.8,1.1,14.3
19/05/2022,1.5,8.6,17.1,9.3,78.4,80.5,0,1.7,20.9,0,138.1,1.3,13.3
20/05/2022,3.6,8.6,15.9,9.3,77.1,80.4,0,3.3,20.9,0,111.1,1.2,12.6
21/05/2022,5.1,10.9,18.5,11.5,78.6,79.5,0,5.3,24.3,0,146,1.2,12.5
22/05/2022,9.6,14.5,21,14.6,72.6,74.6,0,3.9,19.3,0,131.9,1.4,14
23/05/2022,6.5,13.2,21.6,13.7,75,75.9,0,2.6,14.2,0,147.8,1.4,14.6
24/05/2022,5.3,12.9,19.8,13.1,77.4,78.7,0,4,20.9,0,101.4,1.4,14.2
25/05/2022,11.3,14.7,21.6,14.6,83.2,86.2,0,4.3,22.6,5.4,59.1,1.4,14.9
26/05/2022,9.2,13.3,19.7,13.7,88.5,89.2,0,2.4,19.3,0.2,114,0.9,15.2
27/05/2022,6.8,11.4,18.3,12.1,87,86.9,0,1.9,13.4,0,131.2,1.1,14.5
28/05/2022,8.1,11.7,17.3,12.2,87.5,88.5,0,3.3,20.1,0.8,104.6,1.1,14.3
29/05/2022,6.1,12.1,18.4,12.5,79.9,80.9,0,4.8,30.1,7,113.7,1,13.9
